"part_id","cont_id","cnt_age_exact","cnt_age_est_min","cnt_age_est_max","cnt_gender","cnt_home","cnt_work","cnt_school","cnt_transport","cnt_leisure","cnt_otherplace","frequency_multi","phys_contact","duration_multi"
5,517,46,46,NA,"M",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
5,518,40,40,NA,"M",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,5
5,519,72,70,75,"F",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,1,2
5,520,50,50,NA,"M",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,2,2
5,521,10,10,NA,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,5
5,522,57,55,60,"F",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,1,1
5,523,49,49,NA,"M",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,2
5,524,41,41,NA,"F",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,1,2
5,525,39,39,NA,"F",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,1,2
6,601,75,75,NA,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,5
6,602,8,8,NA,"M",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,2,5
6,603,8,8,NA,"F",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,5
6,604,8,8,NA,"M",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,2,5
6,605,47,45,50,"F",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,2,3
6,606,7,7,NA,"M",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,5
6,607,43,43,NA,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2,2
6,608,53,53,NA,"M",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,4
6,609,48,48,NA,"F",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,5
6,610,32,30,35,"F",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,2,4
6,611,8,8,NA,"F",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,2,5
6,612,7,7,NA,"M",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,2,5
6,613,42,40,45,"F",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,2,4
6,614,7,7,NA,"F",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,5
6,615,7,7,NA,"M",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,2,5
6,616,12,12,NA,"M",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,5
6,617,8,8,NA,"M",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,5
6,618,21,21,NA,"F",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,1,1,4
6,619,10,10,NA,"M",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,1,1
7,701,10,10,NA,"M",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,2,5
7,702,34,34,NA,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,5
7,703,36,36,NA,"F",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,4
7,704,38,38,NA,"M",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,5
7,705,4,4,NA,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,4
7,706,78,78,NA,"M",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,5
7,707,65,65,NA,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,5
8,801,47,45,50,"F",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,4
8,802,79,79,NA,"F",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,3
8,803,56,52,60,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2,3
8,804,48,48,NA,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,5
8,805,9,8,10,"M",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,1,3
8,806,21,21,NA,"M",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,3
8,807,51,51,NA,"M",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,4
8,808,5,5,NA,"M",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,4
8,809,16,16,NA,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,3
9,901,2,2,NA,"M",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,5
9,902,1,1,NA,"F",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,3
9,903,2,2,NA,"F",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,5
9,904,2,2,NA,"M",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,5
9,905,2,2,NA,"F",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,5
